what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588423225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588423287
error,log,,,"Several ports (8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1408588424885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588427923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588429975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588430128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588431770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588433932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588433992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588437363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588437701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588439407
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408588446708
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408588448895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408588452778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588453286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588453796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408588454927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588455638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588457622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588457676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588461621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588461901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588463026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408588463566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589911870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589914942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589918701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589919305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589919820
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408589922764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589927494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589929251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408589939555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408589944130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408589947250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589962072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589962784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589963058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589970337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408589970938
